num_vars,seed,true_edges,edge_density,max_eigenvalue_real,DirectSF2M_AUROC,DirectSF2M_AUPRC,DirectSF2M_training_time,DirectSF2M_num_true_edges,hparam_n_steps,hparam_batch_size,hparam_reg,hparam_alpha,hparam_lr,hparam_knockout_hidden,config_id,experiment_id,total_experiments
10,165,27,0.27,0.9963180699495502,0.5715372907153728,0.3735390946502058,19.010344982147217,27,2000,128,1e-05,0.3,0.001,256,127,384,648
10,962,25,0.25,0.7146712559397453,0.7061333333333333,0.440700270057432,15.551955223083496,25,2000,128,1e-05,0.3,0.003,128,128,385,648
10,283,27,0.27,0.9467484666911842,0.8830542871638762,0.7288096141978186,15.054289102554321,27,2000,128,1e-05,0.3,0.003,128,128,386,648
10,165,27,0.27,0.9963180699495502,0.73921867072552,0.594604822149625,13.32060718536377,27,2000,128,1e-05,0.3,0.003,128,128,387,648
10,962,25,0.25,0.7146712559397453,0.776,0.6379563982326371,23.649588108062744,25,2000,128,1e-05,0.3,0.003,256,129,388,648
10,283,27,0.27,0.9467484666911842,0.7727042110603755,0.5715050628864757,20.170680046081543,27,2000,128,1e-05,0.3,0.003,256,129,389,648
10,165,27,0.27,0.9963180699495502,0.7336377473363774,0.5836152687629446,19.37627410888672,27,2000,128,1e-05,0.3,0.003,256,129,390,648
10,962,25,0.25,0.7146712559397453,0.7584,0.4949772846533098,13.218642234802246,25,2000,128,1e-05,0.3,0.005,128,130,391,648
10,283,27,0.27,0.9467484666911842,0.8866057838660578,0.7203047859361609,13.712977170944214,27,2000,128,1e-05,0.3,0.005,128,130,392,648
10,165,27,0.27,0.9963180699495502,0.9084221207508879,0.7512060705891437,15.7582688331604,27,2000,128,1e-05,0.3,0.005,128,130,393,648
10,962,25,0.25,0.7146712559397453,0.8309333333333334,0.650549467710575,19.974705934524536,25,2000,128,1e-05,0.3,0.005,256,131,394,648
10,283,27,0.27,0.9467484666911842,0.8703703703703703,0.7038196697102415,18.73307991027832,27,2000,128,1e-05,0.3,0.005,256,131,395,648
10,165,27,0.27,0.9963180699495502,0.9211060375443937,0.7846463068993702,19.313897132873535,27,2000,128,1e-05,0.3,0.005,256,131,396,648
10,962,25,0.25,0.7146712559397453,0.5,0.25,12.592952013015747,25,2000,128,0.0001,0.1,0.001,128,132,397,648
10,283,27,0.27,0.9467484666911842,0.5,0.27,14.019340753555298,27,2000,128,0.0001,0.1,0.001,128,132,398,648
10,165,27,0.27,0.9963180699495502,0.5,0.27,14.59635877609253,27,2000,128,0.0001,0.1,0.001,128,132,399,648
10,962,25,0.25,0.7146712559397453,0.5,0.25,20.19214105606079,25,2000,128,0.0001,0.1,0.001,256,133,400,648
10,283,27,0.27,0.9467484666911842,0.5,0.27,20.302228927612305,27,2000,128,0.0001,0.1,0.001,256,133,401,648
10,165,27,0.27,0.9963180699495502,0.5,0.27,17.491908311843872,27,2000,128,0.0001,0.1,0.001,256,133,402,648
10,962,25,0.25,0.7146712559397453,0.5,0.25,13.689846992492676,25,2000,128,0.0001,0.1,0.003,128,134,403,648
10,283,27,0.27,0.9467484666911842,0.5,0.27,12.304986238479614,27,2000,128,0.0001,0.1,0.003,128,134,404,648
10,165,27,0.27,0.9963180699495502,0.5,0.27,11.996754169464111,27,2000,128,0.0001,0.1,0.003,128,134,405,648
10,962,25,0.25,0.7146712559397453,0.5666666666666667,0.2777777777777778,16.646185874938965,25,2000,128,0.0001,0.1,0.003,256,135,406,648
10,283,27,0.27,0.9467484666911842,0.5636732623033993,0.2977820349084717,18.55213499069214,27,2000,128,0.0001,0.1,0.003,256,135,407,648
